ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ingresos;Ocupación;¿Cuántas personas viven en su casa, incluido usted?;Nescafe
6;Ciudad 2;1;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);4;0
9;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;7;0
22;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;2.   Trabaja independientemente (informal);22;0
28;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);1;0
29;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);15;1
38;Ciudad 2;2;35 - 44;Femenino;Unión Libre;Primaria;1.   Católico;Con Hijos;3;No poseo ingresos propios;9.   Se dedica al hogar;4;0
45;Ciudad 2;2;45 - 54;Masculino;Casado(a);Primaria;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);9;1
51;Ciudad 2;2;55 - 60;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;6;Menos de  $ 500.000;2.   Trabaja independientemente (informal);11;0
58;Ciudad 2;3;13 - 16;Femenino;Soltero(a);Primaria;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;8;0
60;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;0
66;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Primaria;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;1;1
71;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;5;0
77;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);6;0
78;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;0
82;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;6;0
87;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
94;Ciudad 2;3;25 - 34;Masculino;Casado(a);Bachillerato;7.   Ninguna;Con Hijos;3;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);18;0
102;Ciudad 2;3;25 - 34;Masculino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;1
126;Ciudad 2;3;35 - 44;Femenino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);5;1
130;Ciudad 2;3;45 - 54;Femenino;Separado(a);Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;4;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);9;1
131;Ciudad 2;3;45 - 54;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;3;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);6;0
164;Ciudad 2;4;25 - 34;Femenino;Casado(a);Posgrado;2.   Cristiano no católico;Con Hijos;1;No poseo ingresos propios;9.   Se dedica al hogar;3;0
167;Ciudad 2;4;35 - 44;Masculino;Casado(a);Pregrado;1.   Católico;Con Hijos;2;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);4;0
195;Ciudad 2;5;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
200;Ciudad 2;5;45 - 54;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);2;0
202;Ciudad 2;5;45 - 54;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;3;$ 2,001.000 -- $ 3,000.000;1.   Trabaja dependientemente (empleado);5;0
204;Ciudad 2;1;17 - 24;Femenino;Unión Libre;Bachillerato;2.   Cristiano no católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
216;Ciudad 2;2;17 - 24;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;1;No poseo ingresos propios;9.   Se dedica al hogar;3;0
218;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;6.   Otra:;Con Hijos;1;No poseo ingresos propios;7.   Busca empleo;2;0
219;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);1;0
224;Ciudad 2;2;25 - 34;Masculino;Casado(a);Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
229;Ciudad 2;2;35 - 44;Masculino;Unión Libre;Bachillerato;2.   Cristiano no católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
231;Ciudad 2;2;35 - 44;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;4;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);7;0
234;Ciudad 2;2;35 - 44;Masculino;Casado(a);Pregrado;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);3;1
237;Ciudad 2;2;45 - 54;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);4;0
239;Ciudad 2;2;61 - 70;Masculino;Casado(a);Primaria;1.   Católico;Con Hijos;6;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
255;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
261;Ciudad 2;3;17 - 24;Masculino;Unión Libre;Pregrado;2.   Cristiano no católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;1
262;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);6;0
265;Ciudad 2;3;25 - 34;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;7.   Busca empleo;3;0
266;Ciudad 2;3;25 - 34;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);6;0
275;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;2.   Trabaja independientemente (informal);4;0
285;Ciudad 2;3;35 - 44;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;0
293;Ciudad 2;3;45 - 54;Femenino;Soltero(a);Bachillerato;2.   Cristiano no católico;Con Hijos;4;Menos de  $ 500.000;2.   Trabaja independientemente (informal);3;0
296;Ciudad 2;3;45 - 54;Femenino;Casado(a);Bachillerato;2.   Cristiano no católico;Con Hijos;3;No poseo ingresos propios;9.   Se dedica al hogar;6;1
325;Ciudad 2;4;45 - 54;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;1;Mas de $ 3,001.000;3.   Empresario o Contratista;3;0
347;Ciudad 2;4;17 - 24;Masculino;Soltero(a);Pregrado;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;6.   Estudia y trabaja;2;1
350;Ciudad 2;4;25 - 34;Femenino;Casado(a);Posgrado;1.   Católico;Con Hijos;2;$ 2,001.000 -- $ 3,000.000;1.   Trabaja dependientemente (empleado);4;0
351;Ciudad 2;4;25 - 34;Masculino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);4;0
362;Ciudad 2;2;17 - 24;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);6;0
364;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;0
366;Ciudad 2;2;45 - 54;Masculino;Unión Libre;Bachillerato;7.   Ninguna;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);9;0
378;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;3.   Empresario o Contratista;3;0
383;Ciudad 2;2;35 - 44;Femenino;Soltero(a);Primaria;1.   Católico;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);4;1
385;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;1
387;Ciudad 2;3;17 - 24;Masculino;Casado(a);Pregrado;2.   Cristiano no católico;Con Hijos;2;$ 1´001.000 -- $ 2,000.000;6.   Estudia y trabaja;4;0
405;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);1;0
410;Ciudad 2;3;35 - 44;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;1;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);5;0
413;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);6;0
432;Ciudad 2;3;25 - 34;Masculino;Separado(a);Bachillerato;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
447;Ciudad 2;2;25 - 34;Femenino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;9;0
450;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Bachillerato;2.   Cristiano no católico;Con Hijos;1;No poseo ingresos propios;7.   Busca empleo;3;0
459;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Pregrado;1.   Católico;Con Hijos;2;No poseo ingresos propios;5.    Estudia;5;0
462;Ciudad 2;3;25 - 34;Masculino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;3;$ 2,001.000 -- $ 3,000.000;2.   Trabaja independientemente (informal);4;0
